streptococcus pneumoniae
escherichia coli
streptomyces noursei
fusobacterium nucleatum
bordetella pertussis
pseudomonas aeruginosa
salmonella enterica
bordetella pertussis
streptococcus pneumoniae
unidentified eubacterium
salmonella enterica
vibrio splendidus
escherichia coli
bordetella pertussis
staphylococcus aureus
salmonella enterica
rhizobium sp
escherichia coli
streptococcus pneumoniae
porphyrobacter neustonensis
thioalkalimicrobium cyclicum
staphylococcus aureus
escherichia coli
aliiroseovarius crassostreae
klebsiella pneumoniae
bradyrhizobium sp
streptococcus pneumoniae
streptococcus pneumoniae
oenococcus oeni
bosea sp
ruminiclostridium thermocellum
burkholderia pseudomallei
salmonella enterica
blattabacterium sp
streptococcus pneumoniae
salmonella enterica
treponema pallidum
rhodobacteraceae bacterium
streptococcus pneumoniae
acinetobacter ursingii
acinetobacter baumannii
burkholderia pseudomallei
methanobacterium formicicum
staphylococcus aureus
salmonella enterica
mycobacterium tuberculosis
staphylococcus aureus
escherichia coli
klebsiella pneumoniae
mycobacterium tuberculosis
streptococcus pneumoniae
xanthomonas citri
staphylococcus aureus
pseudomonas aeruginosa
staphylococcus aureus
vibrio sp
nautella italica
acinetobacter baumannii
alkaliphilus oremlandii
mameliella alba
brucella abortus
salmonella enterica
streptococcus pneumoniae
staphylococcus aureus
escherichia coli
streptococcus pneumoniae
streptococcus pneumoniae
bacteroides fragilis
pediococcus claussenii
brucella abortus
klebsiella pneumoniae
rhizobium sp
escherichia coli
aeromonas caviae
salmonella enterica
streptococcus pneumoniae
staphylococcus aureus
lactobacillus paracasei
lactobacillus casei
pseudomonas aeruginosa
staphylococcus aureus
salmonella enterica
nitrospira defluvii
streptococcus pneumoniae
staphylococcus aureus
mycobacterium abscessus
mycoplasma fermentans
treponema denticola
staphylococcus aureus
corynebacterium sp
corynebacterium glyciniphilum
mycobacterium tuberculosis
mycobacterium tuberculosis
streptococcus pneumoniae
campylobacter coli
lysinibacillus fusiformis
neisseria gonorrhoeae
salmonella enterica
leptospira interrogans
bordetella pertussis
streptococcus pneumoniae
salmonella enterica
